id,nested_source_id,source_id,old_split,new_split,nested_role
train_03897,train_03897,train_03897,train,train,train_legacy
train_added_val_confirm_00200,val_confirm_00200,val_confirm_00200,val_confirm,train,train_added
train_added_val_search_00385,val_search_00385,val_search_00385,val_search,train,train_added
train_01650,train_01650,train_01650,train,train,train_legacy
train_02144,train_02144,train_02144,train,train,train_legacy
train_03593,train_03593,train_03593,train,train,train_legacy
train_00329,train_00329,train_00329,train,train,train_legacy
train_02727,train_02727,train_02727,train,train,train_legacy
train_added_val_confirm_00824,val_confirm_00824,val_confirm_00824,val_confirm,train,train_added
train_added_test_00739,test_00739,test_00739,test,train,train_added
train_00006,train_00006,train_00006,train,train,train_legacy
train_04844,train_04844,train_04844,train,train,train_legacy
train_added_val_confirm_00286,val_confirm_00286,val_confirm_00286,val_confirm,train,train_added
train_01027,train_01027,train_01027,train,train,train_legacy
train_00567,train_00567,train_00567,train,train,train_legacy
train_05786,train_05786,train_05786,train,train,train_legacy
train_02805,train_02805,train_02805,train,train,train_legacy
train_01407,train_01407,train_01407,train,train,train_legacy
train_03817,train_03817,train_03817,train,train,train_legacy
train_00508,train_00508,train_00508,train,train,train_legacy
train_added_test_00092,test_00092,test_00092,test,train,train_added
train_05131,train_05131,train_05131,train,train,train_legacy
train_05386,train_05386,train_05386,train,train,train_legacy
train_00629,train_00629,train_00629,train,train,train_legacy
train_02105,train_02105,train_02105,train,train,train_legacy
train_added_test_01090,test_01090,test_01090,test,train,train_added
train_05690,train_05690,train_05690,train,train,train_legacy
train_03456,train_03456,train_03456,train,train,train_legacy
train_03735,train_03735,train_03735,train,train,train_legacy
train_added_test_00591,test_00591,test_00591,test,train,train_added
train_03190,train_03190,train_03190,train,train,train_legacy
train_03374,train_03374,train_03374,train,train,train_legacy
train_02738,train_02738,train_02738,train,train,train_legacy
train_01345,train_01345,train_01345,train,train,train_legacy
train_04401,train_04401,train_04401,train,train,train_legacy
train_04214,train_04214,train_04214,train,train,train_legacy
train_added_test_00725,test_00725,test_00725,test,train,train_added
train_03056,train_03056,train_03056,train,train,train_legacy
train_02942,train_02942,train_02942,train,train,train_legacy
train_00591,train_00591,train_00591,train,train,train_legacy
train_03716,train_03716,train_03716,train,train,train_legacy
train_added_val_confirm_00490,val_confirm_00490,val_confirm_00490,val_confirm,train,train_added
train_01564,train_01564,train_01564,train,train,train_legacy
train_02444,train_02444,train_02444,train,train,train_legacy
train_added_test_02484,test_02484,test_02484,test,train,train_added
train_added_val_confirm_00080,val_confirm_00080,val_confirm_00080,val_confirm,train,train_added
train_04050,train_04050,train_04050,train,train,train_legacy
train_05834,train_05834,train_05834,train,train,train_legacy
train_00892,train_00892,train_00892,train,train,train_legacy
train_added_val_confirm_00864,val_confirm_00864,val_confirm_00864,val_confirm,train,train_added
train_01159,train_01159,train_01159,train,train,train_legacy
train_00284,train_00284,train_00284,train,train,train_legacy
train_01097,train_01097,train_01097,train,train,train_legacy
train_04619,train_04619,train_04619,train,train,train_legacy
train_00717,train_00717,train_00717,train,train,train_legacy
train_04627,train_04627,train_04627,train,train,train_legacy
train_02465,train_02465,train_02465,train,train,train_legacy
train_04421,train_04421,train_04421,train,train,train_legacy
train_00792,train_00792,train_00792,train,train,train_legacy
train_04452,train_04452,train_04452,train,train,train_legacy
train_added_val_search_00202,val_search_00202,val_search_00202,val_search,train,train_added
train_01655,train_01655,train_01655,train,train,train_legacy
train_05454,train_05454,train_05454,train,train,train_legacy
train_03634,train_03634,train_03634,train,train,train_legacy
train_02181,train_02181,train_02181,train,train,train_legacy
train_added_val_search_00371,val_search_00371,val_search_00371,val_search,train,train_added
train_added_val_confirm_00377,val_confirm_00377,val_confirm_00377,val_confirm,train,train_added
train_00793,train_00793,train_00793,train,train,train_legacy
train_added_test_00879,test_00879,test_00879,test,train,train_added
train_00280,train_00280,train_00280,train,train,train_legacy
train_04831,train_04831,train_04831,train,train,train_legacy
train_01964,train_01964,train_01964,train,train,train_legacy
train_00050,train_00050,train_00050,train,train,train_legacy
train_04449,train_04449,train_04449,train,train,train_legacy
train_03093,train_03093,train_03093,train,train,train_legacy
train_04975,train_04975,train_04975,train,train,train_legacy
train_added_test_00481,test_00481,test_00481,test,train,train_added
train_02753,train_02753,train_02753,train,train,train_legacy
train_02154,train_02154,train_02154,train,train,train_legacy
train_00270,train_00270,train_00270,train,train,train_legacy
train_01712,train_01712,train_01712,train,train,train_legacy
train_added_val_confirm_00091,val_confirm_00091,val_confirm_00091,val_confirm,train,train_added
train_04696,train_04696,train_04696,train,train,train_legacy
train_added_val_search_00176,val_search_00176,val_search_00176,val_search,train,train_added
train_01414,train_01414,train_01414,train,train,train_legacy
train_01594,train_01594,train_01594,train,train,train_legacy
train_added_val_confirm_00014,val_confirm_00014,val_confirm_00014,val_confirm,train,train_added
train_02380,train_02380,train_02380,train,train,train_legacy
train_added_val_search_00058,val_search_00058,val_search_00058,val_search,train,train_added
train_05697,train_05697,train_05697,train,train,train_legacy
train_04035,train_04035,train_04035,train,train,train_legacy
train_02109,train_02109,train_02109,train,train,train_legacy
train_02393,train_02393,train_02393,train,train,train_legacy
train_03241,train_03241,train_03241,train,train,train_legacy
train_added_test_00274,test_00274,test_00274,test,train,train_added
train_01449,train_01449,train_01449,train,train,train_legacy
train_04085,train_04085,train_04085,train,train,train_legacy
train_02056,train_02056,train_02056,train,train,train_legacy
