id,true_label,noaug_pred,aug_pred,noaug_correct,aug_correct,noaug_invalid,aug_invalid,outcome,invalid_transition,retrieved_id_noaug,retrieved_id_aug,similarity_noaug,similarity_aug
test_00000,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_00038,train_00038,0.5284314155578613,0.5284315347671509
test_00001,Bipolar,Depression,Depression,False,False,False,False,both_wrong,valid_to_valid,train_03362,aug_train_04506_0,0.6366847157478333,0.6456310749053955
test_00002,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_01561,aug_train_02635_1,0.41841787099838257,0.42743349075317383
test_00003,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_00433,train_00433,0.7248333096504211,0.7248333692550659
test_00004,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_02115,train_02115,0.7261755466461182,0.7261755466461182
test_00005,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_04461,train_04461,0.3562491536140442,0.35624903440475464
test_00006,Depression,Bipolar,Bipolar,False,False,False,False,both_wrong,valid_to_valid,train_05582,train_05582,0.6920267939567566,0.6920267343521118
test_00007,Depression,Anxiety,Anxiety,False,False,False,False,both_wrong,valid_to_valid,train_01094,train_01094,0.6863789558410645,0.686379075050354
test_00008,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_03635,train_03635,0.6000394821166992,0.6000394225120544
test_00009,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_01569,aug_train_03003_1,0.6900047659873962,0.7133225202560425
test_00010,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_04920,train_04920,0.676047682762146,0.6760478019714355
test_00011,Depression,INVALID,INVALID,False,False,True,True,both_wrong,invalid_to_invalid,train_04828,train_04828,0.6962618827819824,0.696262001991272
test_00012,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_04781,aug_train_04781_0,0.7094899415969849,0.7142987251281738
test_00013,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_04745,aug_train_04745_1,0.6482511758804321,0.6739091873168945
test_00014,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_03500,aug_train_03500_0,0.7485607266426086,0.7659469842910767
test_00015,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_05823,train_05823,0.6787790656089783,0.6787787675857544
test_00016,Bipolar,Depression,Normal,False,False,False,False,both_wrong,valid_to_valid,train_04936,aug_train_01532_1,0.6483395099639893,0.7429845333099365
test_00017,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_00058,train_00058,0.7581396102905273,0.7581396102905273
test_00018,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_00659,train_00659,0.7741943001747131,0.7741942405700684
test_00019,Bipolar,Bipolar,Anxiety,True,False,False,False,noaug_only_correct,valid_to_valid,train_03527,aug_train_01805_0,0.7342213988304138,0.7843773365020752
test_00020,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_04441,train_04441,0.5759344696998596,0.5759344696998596
test_00021,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_00300,train_00300,0.6712049841880798,0.6712051033973694
test_00022,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_05266,train_05266,0.6170207262039185,0.6170206665992737
test_00023,Normal,INVALID,Anxiety,False,False,True,False,both_wrong,invalid_to_valid,train_05777,aug_train_05316_1,0.41329389810562134,0.41353070735931396
test_00024,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_05940,train_05940,0.7981334328651428,0.798133373260498
test_00025,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_01659,train_01659,0.45252907276153564,0.4525291323661804
test_00026,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_01734,train_01734,0.5889413356781006,0.588941216468811
test_00027,Depression,INVALID,INVALID,False,False,True,True,both_wrong,invalid_to_invalid,train_05459,train_05459,0.6643259525299072,0.6643259525299072
test_00028,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_03543,aug_train_00564_1,0.7379622459411621,0.7676630020141602
test_00029,Normal,Normal,Anxiety,True,False,False,False,noaug_only_correct,valid_to_valid,train_01344,aug_train_05187_1,0.30691975355148315,0.3287507891654968
test_00030,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_04437,aug_train_03223_1,0.659224271774292,0.6795650124549866
test_00031,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_04890,aug_train_04515_0,0.700438380241394,0.7162816524505615
test_00032,Bipolar,Anxiety,Anxiety,False,False,False,False,both_wrong,valid_to_valid,train_01931,train_01931,0.5730838775634766,0.573083758354187
test_00033,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_01561,aug_train_02919_0,0.40554559230804443,0.4631024897098541
test_00034,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_02915,train_02915,0.7616650462150574,0.761664867401123
test_00035,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_04986,train_04986,0.5887623429298401,0.5887624025344849
test_00036,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_05274,aug_train_01347_1,0.6176753640174866,0.6254949569702148
test_00037,Depression,INVALID,INVALID,False,False,True,True,both_wrong,invalid_to_invalid,train_02432,train_02432,0.5451533198356628,0.5451532602310181
