id,true_label,retrieved_label,retrieved_label_correct,retrieved_id,similarity,retrieved_is_aug
test_00000,Anxiety,Anxiety,True,train_00038,0.5284315347671509,False
test_00001,Bipolar,Depression,False,aug_train_04506_0,0.6456310749053955,True
test_00002,Normal,Normal,True,aug_train_02635_1,0.42743349075317383,True
test_00003,Bipolar,Bipolar,True,train_00433,0.7248333692550659,False
test_00004,Depression,Depression,True,train_02115,0.7261755466461182,False
test_00005,Normal,Normal,True,train_04461,0.35624903440475464,False
test_00006,Depression,Bipolar,False,train_05582,0.6920267343521118,False
test_00007,Depression,Depression,True,train_01094,0.686379075050354,False
test_00008,Anxiety,Anxiety,True,train_03635,0.6000394225120544,False
test_00009,Bipolar,Bipolar,True,aug_train_03003_1,0.7133225202560425,True
test_00010,Bipolar,Bipolar,True,train_04920,0.6760478019714355,False
test_00011,Depression,Depression,True,train_04828,0.696262001991272,False
test_00012,Bipolar,Bipolar,True,aug_train_04781_0,0.7142987251281738,True
test_00013,Anxiety,Anxiety,True,aug_train_04745_1,0.6739091873168945,True
test_00014,Anxiety,Anxiety,True,aug_train_03500_0,0.7659469842910767,True
test_00015,Depression,Depression,True,train_05823,0.6787787675857544,False
test_00016,Bipolar,Bipolar,True,aug_train_01532_1,0.7429845333099365,True
test_00017,Depression,Depression,True,train_00058,0.7581396102905273,False
test_00018,Bipolar,Bipolar,True,train_00659,0.7741942405700684,False
test_00019,Bipolar,Depression,False,aug_train_01805_0,0.7843773365020752,True
test_00020,Normal,Normal,True,train_04441,0.5759344696998596,False
test_00021,Normal,Normal,True,train_00300,0.6712051033973694,False
test_00022,Anxiety,Anxiety,True,train_05266,0.6170206665992737,False
test_00023,Normal,Depression,False,aug_train_05316_1,0.41353070735931396,True
test_00024,Bipolar,Bipolar,True,train_05940,0.798133373260498,False
test_00025,Depression,Depression,True,train_01659,0.4525291323661804,False
test_00026,Depression,Depression,True,train_01734,0.588941216468811,False
test_00027,Depression,Depression,True,train_05459,0.6643259525299072,False
test_00028,Bipolar,Bipolar,True,aug_train_00564_1,0.7676630020141602,True
test_00029,Normal,Normal,True,aug_train_05187_1,0.3287507891654968,True
test_00030,Depression,Depression,True,aug_train_03223_1,0.6795650124549866,True
test_00031,Bipolar,Bipolar,True,aug_train_04515_0,0.7162816524505615,True
test_00032,Bipolar,Bipolar,True,train_01931,0.573083758354187,False
test_00033,Normal,Normal,True,aug_train_02919_0,0.4631024897098541,True
test_00034,Anxiety,Anxiety,True,train_02915,0.761664867401123,False
test_00035,Anxiety,Anxiety,True,train_04986,0.5887624025344849,False
test_00036,Depression,Depression,True,aug_train_01347_1,0.6254949569702148,True
test_00037,Depression,Depression,True,train_02432,0.5451532602310181,False
test_00038,Normal,Bipolar,False,aug_train_05082_1,0.41748544573783875,True
test_00039,Anxiety,Normal,False,train_01610,0.6078665256500244,False
test_00040,Depression,Depression,True,train_03620,0.6909228563308716,False
test_00041,Anxiety,Anxiety,True,aug_train_01473_0,0.7291350364685059,True
test_00042,Depression,Bipolar,False,train_01304,0.5346896648406982,False
test_00043,Anxiety,Anxiety,True,train_04104,0.7474093437194824,False
test_00044,Normal,Normal,True,train_00555,0.3815782070159912,False
test_00045,Anxiety,Depression,False,train_02314,0.6617599129676819,False
test_00046,Bipolar,Bipolar,True,train_02623,0.870822548866272,False
test_00047,Bipolar,Bipolar,True,train_03800,0.8187351822853088,False
test_00048,Depression,Depression,True,train_02316,0.6223053932189941,False
test_00049,Bipolar,Bipolar,True,aug_train_00824_0,0.6754109859466553,True
test_00050,Anxiety,Depression,False,aug_train_04948_0,0.5562041401863098,True
test_00051,Normal,Normal,True,train_03510,0.4101877808570862,False
test_00052,Normal,Depression,False,train_05618,0.5230743885040283,False
test_00053,Normal,Normal,True,train_02889,0.5373258590698242,False
test_00054,Normal,Bipolar,False,aug_train_00230_1,0.576663613319397,True
test_00055,Anxiety,Anxiety,True,train_05731,0.620752215385437,False
test_00056,Anxiety,Anxiety,True,train_04094,0.4724857211112976,False
test_00057,Depression,Depression,True,train_01283,0.7089579105377197,False
test_00058,Bipolar,Bipolar,True,aug_train_02800_0,0.5463569164276123,True
test_00059,Bipolar,Bipolar,True,train_05687,0.8110473155975342,False
test_00060,Anxiety,Anxiety,True,aug_train_04695_0,0.637362539768219,True
test_00061,Bipolar,Anxiety,False,aug_train_04083_0,0.5639592409133911,True
test_00062,Depression,Depression,True,train_02471,0.7115676999092102,False
test_00063,Bipolar,Bipolar,True,train_02412,0.8626085519790649,False
test_00064,Depression,Depression,True,train_02006,0.5706526637077332,False
test_00065,Anxiety,Anxiety,True,aug_train_00830_0,0.6761847138404846,True
test_00066,Anxiety,Anxiety,True,train_05020,0.5894074440002441,False
test_00067,Bipolar,Bipolar,True,aug_train_03163_1,0.8529265522956848,True
test_00068,Normal,Normal,True,aug_train_00611_0,0.48625218868255615,True
test_00069,Normal,Normal,True,train_05251,0.2718735337257385,False
test_00070,Depression,Depression,True,train_02323,0.8140368461608887,False
test_00071,Depression,Depression,True,aug_train_00606_0,0.7945963144302368,True
test_00072,Depression,Depression,True,train_05574,0.6843940019607544,False
test_00073,Depression,Depression,True,train_02683,0.575228214263916,False
test_00074,Depression,Depression,True,aug_train_00039_1,0.7678579092025757,True
test_00075,Normal,Normal,True,train_04638,0.49127715826034546,False
test_00076,Normal,Bipolar,False,train_01040,0.48837020993232727,False
test_00077,Normal,Depression,False,aug_train_04462_1,0.45323699712753296,True
test_00078,Depression,Depression,True,aug_train_04411_1,0.6732219457626343,True
test_00079,Bipolar,Bipolar,True,aug_train_01580_1,0.7778905034065247,True
test_00080,Depression,Depression,True,train_01394,0.7768675088882446,False
test_00081,Depression,Depression,True,train_00392,0.5043790340423584,False
test_00082,Normal,Normal,True,train_03467,0.4264192581176758,False
test_00083,Bipolar,Bipolar,True,train_04774,0.7714979648590088,False
test_00084,Depression,Depression,True,train_04559,0.6834555864334106,False
test_00085,Normal,Depression,False,aug_train_02441_1,0.2976233959197998,True
test_00086,Anxiety,Anxiety,True,aug_train_02856_0,0.788171648979187,True
test_00087,Normal,Normal,True,train_03165,0.40369921922683716,False
test_00088,Normal,Normal,True,aug_train_03761_0,0.4888160228729248,True
test_00089,Depression,Normal,False,train_02417,0.5347626209259033,False
